cell,key,task,run_num,action,timestamp,resolved,reason,result_file,already_reevaluated_20260911,model_tag
di__binf__fc,scikit-learn__scikit-learn-13328__full-context__r2,scikit-learn__scikit-learn-13328,2,evaluate_only,2026-03-31T04:56:46.372830,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__binf__fc/experiment_results.json,False,qwen35-a3b
di__binf__fc,scikit-learn__scikit-learn-14496__full-context__r1,scikit-learn__scikit-learn-14496,1,evaluate_only,2026-03-31T05:40:43.726551,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__binf__fc/experiment_results.json,False,qwen35-a3b
di__binf__fc,scikit-learn__scikit-learn-14496__full-context__r2,scikit-learn__scikit-learn-14496,2,evaluate_only,2026-03-31T05:40:32.623480,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__binf__fc/experiment_results.json,False,qwen35-a3b
di__binf__fc,scikit-learn__scikit-learn-15100__full-context__r1,scikit-learn__scikit-learn-15100,1,evaluate_only,2026-03-31T06:17:29.162602,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__binf__fc/experiment_results.json,False,qwen35-a3b
di__binf__fc,scikit-learn__scikit-learn-15100__full-context__r2,scikit-learn__scikit-learn-15100,2,evaluate_only,2026-03-31T06:17:13.938929,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__binf__fc/experiment_results.json,False,qwen35-a3b
di__binf__fc,scikit-learn__scikit-learn-26323__full-context__r2,scikit-learn__scikit-learn-26323,2,evaluate_only,2026-03-31T07:32:39.285966,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__binf__fc/experiment_results.json,False,qwen35-a3b
di__binf__fc,sympy__sympy-15017__full-context__r1,sympy__sympy-15017,1,evaluate_only,2026-03-31T01:17:57.212740,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__binf__fc/experiment_results.json,False,qwen35-a3b
di__binf__fc,sympy__sympy-15017__full-context__r2,sympy__sympy-15017,2,evaluate_only,2026-03-31T01:16:22.286769,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__binf__fc/experiment_results.json,False,qwen35-a3b
di__binf__fc,sympy__sympy-19637__full-context__r1,sympy__sympy-19637,1,evaluate_only,2026-03-31T02:26:24.881267,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__binf__fc/experiment_results.json,False,qwen35-a3b
di__binf__fc,sympy__sympy-19637__full-context__r2,sympy__sympy-19637,2,evaluate_only,2026-03-31T02:26:05.497272,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__binf__fc/experiment_results.json,False,qwen35-a3b
di__binf__fc,sympy__sympy-24443__full-context__r1,sympy__sympy-24443,1,evaluate_only,2026-03-31T03:40:18.647861,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__binf__fc/experiment_results.json,False,qwen35-a3b
di__binf__fc,sympy__sympy-24443__full-context__r2,sympy__sympy-24443,2,evaluate_only,2026-03-31T03:37:02.882527,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__binf__fc/experiment_results.json,False,qwen35-a3b
